product_sku,sale_date,quantity_sold,unit_price,total_amount
PROD002,2026-04-27,5,1.5,7.5
PROD003,2026-04-27,8,5,40
PROD004,2026-04-27,10,4,40
PROD005,2026-04-27,10,6.5,65
PROD006,2026-04-27,21,2,42
PROD002,2026-04-28,8,1.5,12
PROD003,2026-04-28,12,5,60
PROD004,2026-04-28,9,4,36
PROD005,2026-04-28,23,6.5,149.5
PROD006,2026-04-28,10,2,20
PROD002,2026-04-29,24,1.5,36
PROD003,2026-04-29,6,5,30
PROD004,2026-04-29,13,4,52
PROD005,2026-04-29,22,6.5,143
PROD006,2026-04-29,24,2,48
PROD002,2026-04-30,9,1.5,13.5
PROD003,2026-04-30,10,5,50
PROD004,2026-04-30,14,4,56
PROD005,2026-04-30,15,6.5,97.5
PROD006,2026-04-30,24,2,48
PROD002,2026-05-01,5,1.5,7.5
PROD003,2026-05-01,8,5,40
PROD004,2026-05-01,8,4,32
PROD005,2026-05-01,20,6.5,130
PROD006,2026-05-01,18,2,36
PROD002,2026-05-02,21,1.5,31.5
PROD003,2026-05-02,22,5,110
PROD004,2026-05-02,7,4,28
PROD005,2026-05-02,8,6.5,52
PROD006,2026-05-02,16,2,32
PROD002,2026-05-03,9,1.5,13.5
PROD003,2026-05-03,16,5,80
PROD004,2026-05-03,7,4,28
PROD005,2026-05-03,17,6.5,110.5
PROD006,2026-05-03,5,2,10
PROD002,2026-05-04,22,1.5,33
PROD003,2026-05-04,6,5,30
PROD004,2026-05-04,23,4,92
PROD005,2026-05-04,6,6.5,39
PROD006,2026-05-04,18,2,36
PROD002,2026-05-05,22,1.5,33
PROD003,2026-05-05,22,5,110
PROD004,2026-05-05,18,4,72
PROD005,2026-05-05,7,6.5,45.5
PROD006,2026-05-05,13,2,26
PROD002,2026-05-06,19,1.5,28.5
PROD003,2026-05-06,21,5,105
PROD004,2026-05-06,24,4,96
PROD005,2026-05-06,17,6.5,110.5
PROD006,2026-05-06,12,2,24
PROD002,2026-05-07,14,1.5,21
PROD003,2026-05-07,5,5,25
PROD004,2026-05-07,16,4,64
PROD005,2026-05-07,13,6.5,84.5
PROD006,2026-05-07,15,2,30
PROD002,2026-05-08,20,1.5,30
PROD003,2026-05-08,22,5,110
PROD004,2026-05-08,19,4,76
PROD005,2026-05-08,5,6.5,32.5
PROD006,2026-05-08,6,2,12
PROD002,2026-05-09,13,1.5,19.5
PROD003,2026-05-09,20,5,100
PROD004,2026-05-09,22,4,88
PROD005,2026-05-09,24,6.5,156
PROD006,2026-05-09,23,2,46
PROD002,2026-05-10,14,1.5,21
PROD003,2026-05-10,6,5,30
PROD004,2026-05-10,15,4,60
PROD005,2026-05-10,14,6.5,91
PROD006,2026-05-10,23,2,46
PROD002,2026-05-11,23,1.5,34.5
PROD003,2026-05-11,23,5,115
PROD004,2026-05-11,19,4,76
PROD005,2026-05-11,7,6.5,45.5
PROD006,2026-05-11,12,2,24
PROD002,2026-05-12,14,1.5,21
PROD003,2026-05-12,16,5,80
PROD004,2026-05-12,9,4,36
PROD005,2026-05-12,7,6.5,45.5
PROD006,2026-05-12,7,2,14
PROD002,2026-05-13,9,1.5,13.5
PROD003,2026-05-13,6,5,30
PROD004,2026-05-13,15,4,60
PROD005,2026-05-13,20,6.5,130
PROD006,2026-05-13,22,2,44
PROD002,2026-05-14,7,1.5,10.5
PROD003,2026-05-14,17,5,85
PROD004,2026-05-14,15,4,60
PROD005,2026-05-14,7,6.5,45.5
PROD006,2026-05-14,14,2,28
PROD002,2026-05-15,24,1.5,36
PROD003,2026-05-15,14,5,70
PROD004,2026-05-15,22,4,88
PROD005,2026-05-15,17,6.5,110.5
PROD006,2026-05-15,19,2,38
