SKU,Date,Quantity,Price,Notes
PROD001,2026-05-18,25,4.99,POS Batch Import
PROD002,2026-05-18,30,2.49,POS Batch Import
PROD003,2026-05-18,15,12.99,POS Batch Import
PROD004,2026-05-18,18,5.99,POS Batch Import
PROD005,2026-05-18,22,6.99,POS Batch Import
PROD006,2026-05-18,40,3.99,POS Batch Import
PROD007,2026-05-18,12,8.99,POS Batch Import
PROD008,2026-05-18,28,5.49,POS Batch Import
PROD009,2026-05-18,35,2.99,POS Batch Import
PROD010,2026-05-18,24,4.49,POS Batch Import
PROD011,2026-05-18,50,0.59,POS Batch Import
PROD012,2026-05-18,30,1.29,POS Batch Import
PROD013,2026-05-18,16,7.99,POS Batch Import
PROD014,2026-05-18,20,4.99,POS Batch Import
PROD015,2026-05-18,60,5.99,POS Batch Import
